circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
banjara hills,banjara hills,banjara hills,banjara hills,gaffar colony,domestic,1,141,135.0,37372.0,522.2
banjara hills,banjara hills,banjara hills,banjara hills,gowri shanker colony,domestic,1,1499,1351.5,180809.625,1969.69
banjara hills,banjara hills,banjara hills,banjara hills,grc road no 2 and 3,domestic,1,111,109.0,99761.0,1969.69
banjara hills,banjara hills,banjara hills,banjara hills,grc road no 78910 and 11,domestic,1,148,143.0,180809.625,1969.69
banjara hills,banjara hills,banjara hills,banjara hills,grc road no1456and14,domestic,1,364,362.0,180809.625,1969.69
banjara hills,banjara hills,banjara hills,banjara hills,hindi nagar,domestic,1,113,100.0,18385.0,281.06
banjara hills,banjara hills,banjara hills,banjara hills,ias-ips officers quarters,domestic,1,92,91.0,20723.0,457.0
banjara hills,banjara hills,banjara hills,banjara hills,journalist novodayau.b.colony,domestic,1,1064,1025.0,180809.625,1969.69
banjara hills,banjara hills,banjara hills,banjara hills,kcr house  nandi nagar,domestic,1,1070,1005.0,174866.0,1969.19
banjara hills,banjara hills,banjara hills,banjara hills,nagarjuna hills,domestic,1,23,19.0,6356.0,134.5
banjara hills,banjara hills,banjara hills,banjara hills,nagarjuna hills and panjagutta,domestic,1,30,30.0,17140.0,595.0
banjara hills,banjara hills,banjara hills,banjara hills,net metering,domestic,1,31,31.0,11340.0,183.0
banjara hills,banjara hills,banjara hills,banjara hills,new venkateshwara nagar,domestic,1,1499,1351.5,180809.625,1969.69
banjara hills,banjara hills,banjara hills,banjara hills,new zohranagarrd 10b.hills,domestic,1,926,900.0,180809.625,1969.69
banjara hills,banjara hills,banjara hills,banjara hills,panjagutta police qrts.,domestic,1,213,162.0,22520.0,402.28
banjara hills,banjara hills,banjara hills,banjara hills,rd.14 amrutha encleve apartmet,domestic,1,90,90.0,26616.0,289.76
banjara hills,banjara hills,banjara hills,banjara hills,rd.14 posh areaapartments,domestic,1,925,890.0,180809.625,1969.69
banjara hills,banjara hills,banjara hills,banjara hills,rd.2 main road,domestic,1,885,838.0,180809.625,1969.69
banjara hills,banjara hills,banjara hills,banjara hills,rd.4 apartments,domestic,1,430,425.0,159186.0,1969.69
banjara hills,banjara hills,banjara hills,banjara hills,rd.4 individual services,domestic,1,509,495.0,85747.0,915.14
banjara hills,banjara hills,banjara hills,banjara hills,rd.5 pash areaapartments,domestic,1,508,502.0,180809.625,1969.69
banjara hills,banjara hills,banjara hills,banjara hills,rd.56 d.k.basti apartments,domestic,1,799,755.0,110289.0,891.88
banjara hills,banjara hills,banjara hills,banjara hills,rd.7 apartments,domestic,1,76,76.0,33691.0,577.3
banjara hills,banjara hills,banjara hills,banjara hills,rd.7 individual services,domestic,1,441,439.0,118914.0,1591.5
banjara hills,banjara hills,banjara hills,banjara hills,road no 8 9 and 10,domestic,1,967,887.0,180809.625,1969.69
banjara hills,banjara hills,banjara hills,banjara hills,road no. 11,domestic,1,625,605.0,180809.625,1969.69
banjara hills,banjara hills,banjara hills,banjara hills,road no.1 banjara hills,domestic,1,97,85.0,31618.0,663.0
banjara hills,banjara hills,banjara hills,banjara hills,showkath ngr  kbr park line,domestic,1,569,560.0,117458.0,1443.36
banjara hills,banjara hills,banjara hills,banjara hills,singadi kunta,domestic,1,1499,1351.5,180809.625,1969.69
banjara hills,banjara hills,banjara hills,banjara hills,sriniketan colony,domestic,1,353,344.0,104402.0,1395.39
banjara hills,banjara hills,banjara hills,banjara hills,udayanagar,domestic,1,1499,1351.5,180809.625,1969.69
banjara hills,banjara hills,banjara hills,banjara hills,indira nagar,domestic,1,3,317.0,0.0,9.0
banjara hills,banjara hills,banjara hills,film nagar,abnbjrnnnpatel nagar,domestic,1,1499,1351.5,180809.625,1603.02
banjara hills,banjara hills,banjara hills,film nagar,apartments services rd no.12,domestic,1,641,613.0,163798.0,1969.69
banjara hills,banjara hills,banjara hills,film nagar,badruka aptsrock roof apts,domestic,1,618,606.0,130373.0,1969.69
banjara hills,banjara hills,banjara hills,film nagar,balreddy nagar,domestic,1,1499,1276.0,137823.0,973.6
banjara hills,banjara hills,banjara hills,film nagar,bhola nagar rd no-12 b hills,domestic,1,158,134.0,22231.0,206.0
banjara hills,banjara hills,banjara hills,film nagar,d.d.n - vinayak nagar,domestic,1,1264,1213.0,152831.0,1055.72
