circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,SRI SAI NATH COLONY,TEMPORARY SUPPLY,8,4,4.0,1014.0,32.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,SRINIVASA NAGAR,TEMPORARY SUPPLY,8,1,1.0,149.0,5.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,DASARI RANGA REDDY COLONY,TEMPORARY SUPPLY,8,1,1.0,498.0,5.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,DLRL COLONY,TEMPORARY SUPPLY,8,3,2.0,2230.0,15.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,GAYATRI NAGAR,TEMPORARY SUPPLY,8,5,5.0,1277.0,14.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,HANUMAN NAGAR,TEMPORARY SUPPLY,8,5,4.0,2206.0,39.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,JAYASREE COLONY,TEMPORARY SUPPLY,8,1,1.0,804.0,5.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,JNNURM-VAMBAY,TEMPORARY SUPPLY,8,3,1.0,0.0,9.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,SRIRAM NAGAR COLONY,TEMPORARY SUPPLY,8,2,1.0,1389.0,9.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,SURYODAYANAGAR COL,TEMPORARY SUPPLY,8,4,4.0,2065.0,29.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,VIJAYA SREE COLONY,TEMPORARY SUPPLY,8,4,4.0,1534.0,60.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,VIVEKANANDA NAGAR COLONY,TEMPORARY SUPPLY,8,3,3.0,1026.0,24.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,HAYATH NAGAR,ANAND NAGAR,TEMPORARY SUPPLY,8,1,1.0,268.0,5.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,HAYATH NAGAR,ANJANADRI NAGAR,TEMPORARY SUPPLY,8,4,4.0,2505.0,48.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,HAYATH NAGAR,BALAJI NAGAR,TEMPORARY SUPPLY,8,6,6.0,2855.0,34.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,HAYATH NAGAR,BLOOD BANK COLONY,TEMPORARY SUPPLY,8,5,5.0,1334.0,22.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,HAYATH NAGAR,BRUNDAVAN COLONY,TEMPORARY SUPPLY,8,1,1.0,273.0,5.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,HAYATH NAGAR,C S R COLONY ,TEMPORARY SUPPLY,8,5,5.0,5956.0,33.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,HAYATH NAGAR,GREEN WOOD COLONY,TEMPORARY SUPPLY,8,4,4.0,1124.0,25.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,LAXMI NAGAR,TEMPORARY SUPPLY,8,2,2.0,619.0,13.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,LAXMI NARSIMHA GUTTA,TEMPORARY SUPPLY,8,2,2.0,394.0,10.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,MITHILA NAGAR,TEMPORARY SUPPLY,8,1,1.0,102.0,5.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,NANADANAVANAM PH - I,TEMPORARY SUPPLY,8,1,1.0,285.0,5.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,NANDHI HILLS,TEMPORARY SUPPLY,8,5,5.0,1624.0,21.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,NANDI HILLS PH - III,TEMPORARY SUPPLY,8,3,3.0,643.0,17.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,NANDI HILLS PH-1,TEMPORARY SUPPLY,8,3,3.0,1063.0,15.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,NEW BALAJI NAGAR,TEMPORARY SUPPLY,8,1,1.0,2553.0,5.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,HAYATH NAGAR,LAXMI BHAVANI COLONY,TEMPORARY SUPPLY,8,1,1.0,439.0,5.0
